,m1,m32,m34,m47,m50,m110,m111,m223,m260,m296,m318,m356,m457,m480,m527,m541,m589,m590,m593,m608,m750,m858,m904,m908,m912,m913,m919,m920,m923,m924,m969,m1036,m1089,m1097,m1136,m1148,m1193,m1196,m1197,m1198,m1200,m1204,m1206,m1207,m1208,m1210,m1213,m1214,m1219,m1220,m1221,m1222,m1225,m1230,m1233,m1234,m1240,m1242,m1247,m1250,m1252,m1258,m1259,m1265,m1270,m1278,m1288,m1291,m1294,m1304,m1307,m1358,m1387,m1394,m1580,m1610,m1617,m1704,m1784,m1923,m2028,m2324,m2396,m2571,m2599,m2692,m2700,m2716,m2762,m2791,m2804,m2858,m2918,m2959,m2997,m3114,m3147,m3421,m3471,m3578
m1,,,0.5882174157049688,,,,,,,,,0.5399731829050526,0.511766526283794,0.5450153486274284,,,0.5199625940281791,0.5087231421830689,,,,,,,,,0.5430373539939997,,,,0.5312136276614086,0.5167605938512829,,0.5776023528720368,,0.5517768705462416,,,0.5258898350737531,0.5179447179351268,,,,,,,,,,,,,,,,,,0.5255918359987684,,0.5224508537555841,,,0.5156660061909091,0.5084620820760624,0.5791569706779564,,,0.5196362909860669,,,0.5452649414238455,,0.5114715080721112,,0.5416627178948128,0.5107276115572303,,,,,0.5128858446387009,,0.5339874232514661,,0.5255402985366877,,,0.5107947166278465,0.5106794135774859,,0.576736498359199,,,,,0.7746409872495055,,,,
m32,,,,0.5684866254387594,,,0.5120169703623446,0.5652280914046811,,,,,,,,,,0.5112300017273377,,,,,,,,,,0.5115358591845262,,,,,0.524584961692016,,,0.5287990650460854,,,0.5136839840357696,,,,0.5611864945434237,,,,,,,0.5189207478246054,,0.5120378337405622,,0.5335255317079916,,,,,,,,,,0.5485346458343098,,,,,0.528580800098279,,0.5101301736897617,0.5213594708857041,,0.5382941388984891,0.5668395043375283,,0.5067030666676046,,0.5367037854860841,0.5199487643275662,,,0.5165996062030952,0.5130256314122641,0.5606339670978197,0.5545561464388258,0.5493257161354599,0.5181220963250484,,,,,,0.6133765163472864,0.5690834743802385,,,,0.5205560573393174,
m34,0.5882174157049688,,,,,,,,,,,,0.5098875827533544,0.5534563076590804,,,0.5291832515842354,0.5444698511194079,,,,,,,,,0.523606610652721,0.5402826300949893,,,0.535643144147908,,,0.5483328624580676,,,,,,,0.5139941098434389,,,0.5198741566097528,,,,0.5113443908765348,,0.5189216552228013,,,,,0.5232090630497117,,,0.5300935285519325,,,,,0.5096107763689899,0.5520097943188562,0.5244635188989782,,,,,0.5076536339250453,0.5271623843680918,,0.5160748453865924,,0.5538258806446407,0.5252519041530639,,,,,,,0.5235353107726163,,0.5393390606032283,,0.5694708298110148,0.5359592988525079,,0.5336816974266533,0.5099068724355007,,,,,0.5931059227489903,,,,
m47,,0.5684866254387594,,,,0.5602713331124917,,0.5196734269553628,,,0.5140489156418898,0.5250103119509695,,0.5240853103505586,,,0.5141393648194436,0.5516234764623441,0.5822110943631238,,,,,,,,,,,,,,0.5502670818254323,,,,,,,,0.5259927758314064,,0.5191828338383077,,,,0.5452028586212722,,,,,0.5249749308580667,,,,,,,,,,0.513220940693002,0.5379618347768901,,0.515434350567531,,,0.5204426805253488,,,,0.5211257262838506,0.521553663142241,,,,,0.5748110520524171,0.5110040362873938,,,,,,,0.5104500862967534,0.5457357394299028,0.510549399920612,,,,,,0.5569294029131409,0.5268295146284895,,0.5232535818428802,,0.5123222221694577,0.5384003349388903
m50,,,,,,,,,0.5703686577638928,0.5404903728143744,0.6345170514191516,,,,0.5725756603652,0.5365929535889709,,,0.5568302901915942,,0.5346820326455604,0.6166836959883033,0.5459668940055046,0.5339605114079101,0.5380584838352627,0.5644797339726226,,,0.5423771530660627,,,,,,0.5645930899696289,0.5994378179914014,0.5791268860021334,,0.5468388898879017,0.571613091335123,,0.5454534870136275,,0.5487464927302976,,,0.5487782037755529,,,,0.5628736129874325,,,,,0.5907603981410356,,,,,0.5387447357023545,,,,,,,,,,,,,,,,0.5608157983745876,,,,,0.5831220291479531,,0.5457052093571322,,0.5320254533130795,,,0.5652396904294363,,,0.5993646985030822,,,,,,,,
m110,,,,0.5602713331124917,,,,,0.5146275329351514,,0.5806446170019426,0.5902132342348022,0.5325499980210464,0.5113208024977309,0.5330842766449726,,0.5289542873057935,0.5829829209728129,0.5074758889543217,,,,,,,,,,,,,0.5541991099063994,,,,,,0.5121035520819406,,0.5294277232819832,,,,,,0.5298584371924832,0.50797824590004,,,,,,,,,,,0.5456465488401477,,,,,0.519697136044704,,0.5073842404212765,,,0.5390481703300875,,,,,,,,0.5447585540702076,,0.5420231333498254,,,0.5862129746028292,0.5617523013025982,0.5190913045373212,0.5544205642304142,,,,0.5135606581327959,0.5211835614192706,,,,,,,,0.5885540314288922,0.5318379131364137,,0.6258093462742234
m111,,,,,,,,,,0.5237485312925586,,,,,,0.5882643777965264,,,,0.5781497325257544,0.5712502648551683,0.5727430186493303,0.5704550997447365,0.5507937682480335,,,,,0.5660467992712559,0.573243058021343,,,0.5392130251601724,,0.5309029894754783,,0.5739068584352143,,,,,0.5566759239186132,0.6026955463767005,,0.5724190678999679,,0.6104500316923269,,0.5551168272593663,,0.5875053405924789,,,0.5877002484934898,,,,,0.5738016323762889,,0.6089957294554973,0.5504202887205739,,,,,0.5691101419653852,,0.5389913693966806,0.5327733185915662,,,,0.5446188244391679,,,,,,,,,,,0.5571546637592507,0.5224772727505721,,,,,,0.5237867561193716,,,0.543642662943955,,,,,
m223,,0.5652280914046811,,0.5196734269553628,,0.498812777609188,,,,0.5108498871207978,,,,0.5276432394750246,,,,0.5163586939204808,,,,,,,,,,0.5147279334265411,,,,,0.5562964089061844,,,,,,,,,,,,,0.540106655932571,,,,0.5652471665986933,,0.5090814061200416,,,,,,,,,,,0.5093733506319926,,0.5021826358668264,0.5008284315541925,,,,,,,,0.5036359307827388,0.5374840414927472,0.5055829407104651,,0.5016000132869409,0.5039289044599342,0.5513889816523905,,,,,0.5164598117541059,0.5428564577850024,0.5702422926983113,0.5185403066883038,,0.5275410898574358,,,0.5463656941690291,0.5382279758621592,0.5108231006151662,,,0.5680387210713296,,0.5220302047668258
m260,,,,,0.5703686577638928,0.5146275329351514,,,,0.5132751069110981,0.5677111996208917,,,,0.5496005601843539,,,,0.5056608861535979,,0.5250776715002953,0.5731377604538427,0.5544880297640732,0.5253281081052369,0.5589251887529565,0.5378649165126471,0.5324254603543201,,,,0.5052546334644906,,,,0.5395918924631209,0.6166851459504361,,0.7987471672442339,0.5400581390148802,0.710493233068081,,0.5203843611904787,,0.5069999422741215,,0.6738462321160645,,,,,,,,,0.52103831702422,0.5660092987226449,0.5031162879494189,,,0.5529688481390675,,,,,,,,0.5302808354059136,,,,,,,,,,,,,0.5198717748010122,,,0.5727640829368577,,,,,0.5535042583730937,,,,,,,,,,,
m296,,,,,0.5404903728143744,,0.5237485312925586,0.5108498871207978,0.5132751069110981,,,,,,,0.520465352916686,,,0.5429061036125788,0.6130737188203526,0.5542750319864755,0.5709034441789249,,,,,,,,,,,0.6648995820351552,,0.5193981899259864,,0.5308520979068516,0.510313586183706,,,,,0.5601200951676898,,0.5446379979556948,,0.6133120502772949,,0.5235929524445203,,0.5601236089208622,0.5121275935260738,,0.5192894771524877,,,,,0.5087471663729135,,,0.5178654345249489,,,,,0.5202304013122597,,,,,0.5176374068542664,,0.5241377572707282,,,0.5388691601544496,,,0.5140510492455367,,,,0.5123537881639694,,,,,,,,0.5773516179969609,,,0.5518812467650331,,,,,
m318,,,,,0.6345170514191516,0.5806446170019426,,,0.5677111996208917,,,0.5816971812276467,,,0.6628611870026055,,,,0.592900534790179,,,0.5898197939288045,0.519036657160072,0.5219877201240839,,,,,,,,,,,,0.590127819452013,0.6019876730864263,0.5200611952347235,0.5717482902701189,0.6064400819629804,,0.5184088055620083,,0.5647540175301845,,,,,,,0.5295157808995486,,,,,0.533066631497131,,0.5474705049059015,,,,,0.5386118365854192,,,,,0.5205476340269384,,,0.5212778597928033,0.5248018355084916,,,,,,0.5739541596904032,,,0.5621211355334405,0.6263918502448143,,0.5444266948072362,,,,,0.6067889220670217,,,0.5428472902613698,,,,,0.5369034818785698,,,
m356,0.5399731829050526,,,0.5250103119509695,,0.5902132342348022,,,,,0.5816971812276467,,0.5496606496109431,0.5797786407607936,0.5420228154240896,,0.5289118564445907,0.5687009841644604,,,,,,,,,,0.5437050079847986,,,,0.5461933799802241,,0.586490035451557,,,,,,,,,,,,0.5449434618783386,,,,,,,,,,,,0.5243434929930152,,,,,0.5339030753710553,,0.5752212397485096,,,0.5713717818745889,,,0.587522317036367,,,,0.5321537361079738,0.5479990279958467,,0.5724797930362514,0.5733401694086055,0.567611937207264,0.6189743307936826,,,,,,,,0.5450166043986479,,0.5535989998328474,,0.5334429599501697,,,,0.6280713853591714,0.5340699062409228,,0.566291701164633
m457,0.511766526283794,,0.5098875827533544,,,0.5325499980210464,,,,,,0.5496606496109431,,0.6166552519390849,,,0.5710332837466363,0.5189840816219694,,,,,,,,,0.5273162460726825,0.5753544852176932,,,,0.6010301640321098,,0.5277379979507278,,,,0.5113411892528472,,,,,,,,0.5575413853273428,,,,,,,,,,0.5145861790808951,0.5438833752443232,0.5126123514201892,,,,,,,0.5705005994747775,,,0.5773536754125712,,,0.5584027203063943,,0.513936009106407,,0.5591880757257889,0.6215074461745442,,0.5128873211791753,,0.5350144587968019,,,,,,,,0.5295536933790802,0.5218342490552806,0.5178982314337427,,,,,,0.5150752016053017,0.5579036307476295,,,0.5497433094432348
m480,0.5450153486274284,,0.5534563076590804,0.5240853103505586,,,,0.5276432394750246,,,,0.5797786407607936,0.6166552519390849,,,,0.5986666724111893,0.5621955333399538,,,,,,,,,,0.5493517561775791,,,,0.5833112804537981,,0.6085460687880122,,,,,,,0.552799534688547,,,,,0.5841917300903445,,0.5276723255452053,,,,,,,,,0.5548627387335517,,,,,,0.523349531223604,0.52396521322253,0.6028138890975383,,,0.572679975825414,,,,,0.601542311620942,,0.658291367948001,0.6022978214262407,,,0.527913429935107,0.5458073889590271,,,,,,,0.5649196361198504,0.5977733610999624,,,,,,,,,0.5369004231561584,0.5472160742915122,0.558474163361078,0.5756394795604693
m527,,,,,0.5725756603652,0.5330842766449726,,,0.5496005601843539,,0.6628611870026055,0.5420228154240896,,,,,,0.5366522051007484,0.5662827367563381,,0.5354136399490073,0.6067405427179705,0.5630946841812869,,0.5914867663389681,,0.5219794585635066,,0.5527824210597764,,,,,,,0.5264002471959512,0.5844574667577965,,,0.5809298484045524,,0.531295557262091,,0.5899349606027195,,,,,,,0.5299416605041007,,0.5397319465011048,,0.5572000235000732,0.5292971321379873,,0.5732171457236614,,0.5794880122987357,,,,,,,,,0.5236265914182439,,,,,,,,,0.5555782983493733,,,0.6255649208058418,0.6317119737574367,,,,,,,0.5656000074753009,,,0.5252379128099467,,,,,,,,
m541,,,,,0.5365929535889709,,0.5882643777965264,,,,,,,,,,,,,,0.5695147161030871,0.5365206168349683,0.5424825534758816,0.534185481717814,0.5302421834919112,0.530302829826821,,,0.5315152466469499,0.586783390380014,,,,,0.5643777619118108,0.5898895973552096,0.532464195966887,,,,0.5372829839569293,0.5410110759498088,0.5351274334234789,0.54031182778374,0.6129913791368364,,,0.5870235812312282,,,0.5368576210058971,,0.5285969376267149,,0.5704744785171142,,0.5485994415125146,,,,0.5754507749874309,,,0.5326226054123422,,0.5267059987279553,0.5662524630097842,,,,,,,0.5263800959834666,,,,,,,,,,,,0.529913779239553,,,,,,,,,0.5736614612822478,,,,,
m589,0.5199625940281791,,0.5291832515842354,0.5141393648194436,,0.5289542873057935,,,,,,0.5289118564445907,0.5710332837466363,0.5986666724111893,,,,0.5484275858012951,,,,,,,,,,0.533278156340082,,,,0.6517649273596651,,0.5221613540166063,,,,,,,0.614544664777636,,,,,0.5497706808963587,,0.5433932312509308,,,,,,,,,0.6892587159961417,,,,,,,0.54653086840859,0.5886614792331337,,,0.5385719937578103,,,,,0.5355691390454143,,0.5419204627874465,0.5200717353660322,,,,0.5163524927988791,,,,0.5676816190857318,,,0.5554198659505889,0.5382569589713213,,0.5233982508024544,,,0.5220653787845831,,,,0.5085742747008154,0.5127954543625968,,0.5352287117926697
m590,,,0.5444698511194079,0.5516234764623441,,0.5829829209728129,,,,,,0.5687009841644604,0.5189840816219694,0.5621955333399538,0.5366522051007484,,0.5484275858012951,,,,,,,,,,,0.5499233014259686,,,,0.5576884501057713,,0.5819757000280064,,,,,,,,,,,,0.5328870676672232,,,,,,,,,,,,0.5843317443616058,,,,,0.5393451369210478,,0.5385844067229197,,,0.5198334987640516,,,0.5737403987744131,,0.5230205149751156,,0.5536330811530026,0.5693757477573753,,0.5675624718188108,0.5866088035243966,,0.5480581766948229,,0.5388556598328371,,,,,,,0.5218484191457194,,,0.5256787171895507,,,,0.5598413921592172,0.5325090213959116,0.5620211221788298,0.5485865386668697
m593,,,,0.5822110943631238,0.5568302901915942,0.5074758889543217,,,0.5056608861535979,0.5429061036125788,0.592900534790179,,,,0.5662827367563381,,,,,0.5153351742694772,,0.589325943349716,0.5119314674557883,,,,,,,,,,,,,0.5098933877604687,0.5620510813600919,,,0.5400746976934773,0.5030316861232667,0.5107102158362917,,,0.5083104700642397,,0.5277146385590604,0.5089055541920825,0.5748196962811778,,0.5401875322108556,,,,,,,,,,,0.5613885575458915,,,,,,,,,,0.5100570761652328,0.5324449530856874,,,,0.5090483318164638,0.516384400156798,,,0.5125798725748278,0.5267090440210698,,,,,,,0.5599872703317141,,,0.5159331720576764,,,,,0.5096214224288941,,,
m608,,,,,,,0.5781497325257544,,,0.6130737188203526,,,,,,,,,,,0.6084198689600593,0.5492124692177287,0.5635039297592725,,,0.5345906968645495,,,0.5788649727377784,,,,0.5553035620359423,,0.5295082941741155,0.5516826378344264,0.5698245694329335,,,,,0.5656314526621842,0.5743225177114081,0.545144710401274,,,0.5544153169167,,0.5400558196420064,,0.5338066230010363,0.54403545397034,0.5306041542867763,0.5411864666461533,0.5429182138466804,,,,0.5652891210552188,,0.5833277439501129,,,,,,0.5874861183502766,,,,,0.550996716241139,,0.5714863318826777,,,0.5468089808695595,,,,,,,,0.5392169011890974,,,,,,,0.5607933621566441,,,0.5759045321846057,,,,,
m750,,,,,,,0.5712502648551683,,,0.5542750319864755,,,,,,0.5695147161030871,,,,0.6084198689600593,,0.6219515923069058,0.6354218114602007,0.6278157912535098,0.6303567677122417,0.6107611450195904,,,0.6985307771989957,0.6252989521428826,0.5712383292367753,,,,0.58426115036754,0.562069802468157,0.5704517677223582,,,,,0.6395290554689761,0.586722849338397,0.607685506011694,0.5779635310145756,,,,0.5662826670549024,,0.5721593877121569,,,0.5684203949790461,0.6047604142949483,,,,0.581371770638993,0.5705220646568325,0.6483576013252599,,,,,0.5762260365673055,0.6211525374967919,,0.5665807263369439,,,,,,,,,,,,,,,,,,,,,,,,,,0.5684734019652032,,,,,
m858,,,,,0.6166836959883033,,0.5727430186493303,,0.5731377604538427,0.5709034441789249,0.5898197939288045,,,,0.6067405427179705,,,,0.589325943349716,0.5492124692177287,0.6219515923069058,,0.6284926202528625,0.5756173458718553,0.5904605308715033,0.5655704315157786,,,0.6188491837674213,,,,,,,0.5451830944089113,0.6106135831695992,,,0.577400695205903,,0.6408231046746685,,0.5775216454268564,0.5744550670803678,,0.6258595297786872,,0.5653666601217697,,0.8290181798363555,,,,0.5626899436351301,0.5609077737132597,,,0.5424605426370277,0.6090670074057076,0.6060571456552443,,,,,,,,,,,,,,,,0.5453266829611778,,,,,,,,,,,,,,,0.54266250204648,,,,,,,,
m904,,,,,0.5459668940055046,,0.5704550997447365,,0.5544880297640732,,,,,,0.5630946841812869,0.5424825534758816,,,,0.5635039297592725,0.6354218114602007,0.6284926202528625,,0.7274678836895772,0.6554757615499833,0.6217257354134949,0.5578966813435116,,0.6876725366522771,,0.5634637513700231,,,,,0.5908297498224304,0.5955367329327345,,,0.5895349771867736,,0.6206303895198448,,0.6482374465763998,,,,,0.6358986375806835,,0.5873400694560842,,,0.5381715114053254,0.5584532031851128,0.5456228798347569,,,0.5482702083260227,0.6337535184405575,0.577998613485278,,,,,0.5425389189624897,0.5515612389818497,,,0.5370080524337503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m908,,,,,0.5339605114079101,,0.5507937682480335,,,,,,,,,0.534185481717814,,,,0.5292899945221242,0.6278157912535098,0.5756173458718553,0.7274678836895772,,0.6287873645148107,0.654231405066892,0.5461124820136198,,0.6435070666374486,,0.6079324614364494,,,,,0.5659445217791472,0.5558246606231771,,,0.5466117317647474,,0.5659502098974931,,0.6251229585433433,0.5407748243622527,,0.5729373416431397,,0.624713886932419,,,,,0.5551686301333614,0.5540666010450609,,,,,0.5992329130565114,0.612508142706653,,,,,0.5369947580224772,0.5293561670154524,,0.5327226373691841,0.5321483843465247,,,,,,,0.552557498191554,,,,,,,,,0.5345638008058065,,,,,,,,,,,,,,
m912,,,,,0.5380584838352627,,,,0.5589251887529565,,,,,,0.5914867663389681,0.5302421834919112,,,,,0.6303567677122417,0.5904605308715033,0.6554757615499833,0.6287873645148107,,0.7094515677931372,0.578057436683014,,0.6726219431535378,,0.6638273747957204,,,,,0.5810213645825418,0.5558992612039074,,,0.549724243981908,,0.6038530867382393,,0.6628732492726257,,,,,0.5866984249687566,,0.5394542219116556,,,0.5291993063579357,0.5774226539432206,0.5571212493656605,,,0.581056712842027,0.6147360594711798,0.5954892089274822,,,,,0.5557552024553302,,,0.5244527451825263,0.562236492881692,,,,,,,0.5291874684126119,,,,,0.5951367365817497,,,,,,,,,,,,,,,,,,
m913,,,,,0.5644797339726226,,,,0.5378649165126471,,,,,,,0.530302829826821,,,,0.5345906968645495,0.6107611450195904,0.5655704315157786,0.6217257354134949,0.654231405066892,0.7094515677931372,,0.5428768332802095,,0.6525983773339632,0.544598720434564,0.6180716453487776,,,,,0.5827528315320446,,,,0.536670554719818,,0.61714114496875,,0.5975214010159298,0.5487130207525097,,,,0.5717230998240622,,,,,0.5422954900815644,0.5689199773550181,0.5586388054472542,,,0.5287497002215024,0.5669563170275717,0.6353032581581155,,,,,0.5618534052229481,0.5374145679316634,,0.5288569487004723,0.5784889635816857,,,,,,,0.5472374096410794,,,,,,,,,,,,,,,,,,,,,,,
m919,0.5430373539939997,,0.523606610652721,,,,,,0.5324254603543201,,,,0.5273162460726825,,0.5219794585635066,,,,,,,,0.5578966813435116,0.5461124820136198,0.578057436683014,0.5428768332802095,,0.5664445491545231,0.5383806326381391,,0.5857518811621126,,,0.5740024743418484,,0.5430406327491883,,,0.5259596282501534,0.5139471990233913,,0.5299561660196802,,0.6061758805524605,,,,,0.529247920373734,,,,0.5366447030049623,,,0.5331534114959497,0.5128551354968355,,0.5329004075268922,0.5530322218802824,,,,,0.5182726802757911,0.5543371600717585,,,,,,,,,,,,,,,,0.5203255910066088,,,,,,,0.5173944598627214,,0.5253176535317902,,,,,0.5188762751191769,,,,
m920,,0.5115358591845262,0.5402826300949893,,,,,0.5147279334265411,,,,0.5437050079847986,0.5753544852176932,0.5493517561775791,,,0.533278156340082,0.5499233014259686,,,,,,,0.5103778523821092,,0.5664445491545231,,,,0.5721760528064629,0.5338247896522146,,0.5436136635631469,,,,,,,,,,,,,,,0.525032700143028,,,,,,0.5084389085266736,0.5316638571956611,0.5275784036459094,,,,,,,,0.5440305577227934,,,,0.541506256190059,,0.5474054281396776,,0.5268411586223444,,0.5326865794655619,0.5133921251771307,,,0.5117618570550312,,,,0.5153358300071783,,,,,,,0.5092994491484781,0.5437059535711636,,,,,,0.513707894097904,,0.5279270294145845,0.5108396566346386
m923,,,,,0.5423771530660627,,0.5660467992712559,,,,,,,,0.5527824210597764,,,,,0.5788649727377784,0.6985307771989957,0.6188491837674213,0.6876725366522771,0.6435070666374486,0.6726219431535378,0.6525983773339632,0.5383806326381391,,,0.5800808756911213,0.606431825040293,,,,,0.5550908807524649,,,,,,0.619965333513743,0.5639257303071658,0.5927196881221174,0.5622293113584951,,0.5670194919354707,,0.6252858292573961,,0.5860098818235255,,,0.5815887017437644,0.5662585431783905,,,,0.5377183132696459,0.6039064130354933,0.6260584696987807,,,,,0.5548167952544713,0.5963874008998248,,0.5499493913153155,,,,,,,,,,,,,,,,,,,,,,,,,,0.5437691587371366,,,,,
m924,,,,,,,0.573243058021343,,,,,,,,,0.586783390380014,,,,0.5288338559038773,0.6252989521428826,0.5228544999052454,,,,0.544598720434564,,,0.5800808756911213,,0.5244713754442527,,,,,,,,,,,0.575795790670561,0.641004053429844,,0.6163401571389864,,0.5450779720019199,,0.541383677144547,0.5500572521168281,0.524206505220284,0.5705322100524445,0.5263479422708432,0.5491085916319529,0.5302027703277841,,,,0.5374775105282139,,0.5700140007505832,0.5497416606727179,,,,0.5434114589980938,0.5552727910153243,,0.5274195780262921,,,,,0.5472201676625211,,,,,,,,,,,0.5374780931178985,,0.5542104304204889,,,,,,,,0.5471547710813612,,,,0.5574227859265457,
m969,0.5312136276614086,,0.535643144147908,,,,,,,,,,,,,,,,,,0.5712383292367753,,0.5634637513700231,0.6079324614364494,0.6638273747957204,0.6180716453487776,0.5857518811621126,0.5721760528064629,0.606431825040293,0.5244713754442527,,,,0.5401956090767001,,0.6387766467709364,,,0.514420736468875,,,0.5312072310990328,,0.613565104675085,,,,,0.5154320040696756,,,,0.5159543367469133,0.521624127494323,0.5494360634239939,0.5214923946546773,,,0.5615127367168387,0.5436029047807518,0.5475315679618235,,,,,0.5644860835023274,,,0.5285418499435618,0.5652944056698184,,,,,,,,,,,,,0.5292416341926977,,0.5294915268618499,,,,,,0.5154019449562309,,,,,,,,,
m1036,,,,,,0.5541991099063994,,,,,,0.5461933799802241,0.6010301640321098,0.5833112804537981,,,0.6517649273596651,0.5576884501057713,,,,,,,,,,0.5338247896522146,,,,,,0.5453448869868119,,,,0.5414775818025855,,0.5569026884586793,0.5816534546793168,,,,,0.528830971066351,,,,0.5426953352125792,,,,,,0.5377262478108045,0.6436244334830991,,,,,,0.5261714187135681,0.5382909759830548,0.5922922137390807,,,0.549867314478839,,,,,0.5664706600318785,,,0.5571550845943389,,,,0.5312348484849704,,,,0.52533935472361,,,,0.5868442080601879,,0.5241144955403074,,,0.5413192663239974,,,0.5314695519360392,0.5307420829825727,0.534196042111271,,0.5338784808229365
